State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Households_with_Computer,Graduate_Education,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Having_bathing_facility_Total_Households,Households_with_Television,sex_ratio,literacy_rate
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,52935,37833,119164,382782,10891,74071,124672,276680,74071,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,51028,25078,45726,192734,4064,26559,47753,152501,26559,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,70001,39564,124448,397202,11316,101269,171904,208882,101269,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,231204,78113,174528,135055,60494,193932,206017,210801,193932,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,157646,9042,32895,192012,4227,50155,62326,48350,50155,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,79146,6281,25474,5387,6573,61392,56814,61113,61392,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,519704,30892,134637,345789,13137,193337,171271,135945,193337,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,79146,6281,25474,5387,6573,61392,56814,61113,61392,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,519704,30892,134637,345789,13137,193337,171271,135945,193337,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,148926,4804,31319,119931,3069,67737,50033,29042,67737,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,614109,51289,202424,489008,28840,343369,228551,235446,343369,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,76783,5755,26161,100725,2442,20512,27142,13683,20512,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,202380,18004,61215,162148,8677,95963,77854,67505,95963,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,80023,7609,26802,67318,3402,38765,35636,38370,38765,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,212487,5614,33357,175231,3546,68012,48150,26449,68012,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,297308,13857,66358,225249,5979,98784,69909,50603,98784,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,547206,96301,204507,136247,43536,374021,369857,547214,374021,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,297308,13857,66358,225249,5979,98784,69909,50603,98784,99.0,64.0
